Year,state_name,state_cd,Population,IncarcerationRate,Inmates,state_id
1983,Michigan,MI,9047754,160.37,14510,26
1983,Minnesota,MN,4141456,51.02,2113,27
1983,Mississippi,MS,2567717,213.46,5481,28
1983,Missouri,MO,4943733,163.9,8103,29
1983,Montana,MT,814031,110.68,901,30
1983,Nebraska,NE,1584293,97.9,1551,31
1983,Nevada,NV,901977,353.45,3188,32
1983,New Hampshire,NH,958134,49.99,479,33
1983,New Jersey,NJ,7467785,123.09,9192,34
1983,New Mexico,NM,1394361,122.49,1708,35
1983,New York,NY,17686905,172.5,30510,36
1983,North Carolina,NC,6077056,234.6,14257,37
1983,North Dakota,ND,676688,51.72,350,38
1983,Ohio,OH,10737632,167.7,18007,39
1983,Oklahoma,OK,3290402,227.33,7480,40
1983,Oregon,OR,2653066,148.96,3952,41
1983,Pennsylvania,PA,11837723,98.83,11699,42
1983,Rhode Island,RI,956382,91.81,878,44
1983,South Carolina,SC,3234066,280.64,9076,45
1983,South Dakota,SD,693008,116.6,808,46
1983,Tennessee,TN,4659749,176,8201,47
1983,Texas,TX,15751676,223.84,35259,48
1983,United States,US,233791994,178.55,417436,0
1983,Utah,UT,1594943,79.06,1261,49
1983,Vermont,VT,523302,72.23,378,50
1983,Virginia,VA,5564657,177.1,9855,51
1983,Washington,WA,4300266,154.83,6658,53
1983,West Virginia,WV,1945061,82.83,1611,54
1983,Wisconsin,WI,4721438,102.62,4845,55
1983,Wyoming,WY,510345,141.28,721,56
1984,Alabama,AL,3951820,259.27,10246,1
1984,Alaska,AK,513702,251.7,1293,2
1984,Arizona,AZ,3067135,249.29,7646,4
1984,Arkansas,AR,2319768,193.21,4482,5
1984,California,CA,25844393,161.16,41651,6
1984,Colorado,CO,3169992,101.92,3231,8
1984,Connecticut,CT,3180014,117.86,3748,9
1984,Delaware,DE,611565,252.81,1546,10
1984,Federal,FD,235824902,11.65,27474,57
1984,Florida,FL,11039925,242.38,26759,12
1984,Georgia,GA,5834954,250.15,14596,13
1984,Hawaii,HI,1027922,129.39,1330,15
1984,Idaho,ID,990839,126.46,1253,16
1984,Illinois,IL,11412132,149.96,17114,17
1984,Indiana,IN,5458322,166.04,9063,18
1984,Iowa,IA,2858618,99.21,2836,19
1984,Kansas,KS,2424086,175.08,4244,20
1984,Kentucky,KY,3695453,130.43,4820,21
1984,Louisiana,LA,4400477,310.4,13659,22
1984,Maine,ME,1155635,73.29,847,23
1984,Maryland,MD,4365243,285.02,12442,24
1984,Massachusetts,MA,5840773,81.12,4738,25
1984,Michigan,MI,9049452,161.38,14604,26
1984,Minnesota,MN,4157706,52.12,2167,27
1984,Mississippi,MS,2578051,231.72,5974,28
1984,Missouri,MO,4975278,176.27,8770,29
1984,Montana,MT,820905,117.43,964,30
1984,Nebraska,NE,1588639,98.64,1567,31
1984,Nevada,NV,924922,377.12,3488,32
1984,New Hampshire,NH,976864,59.48,581,33
1984,New Jersey,NJ,7515473,137.89,10363,34
1984,New Mexico,NM,1416717,134.68,1908,35
1984,New York,NY,17745684,186.57,33108,36
1984,North Carolina,NC,6164006,246.9,15219,37
1984,North Dakota,ND,680497,55.11,375,38
1984,Ohio,OH,10737746,173.4,18619,39
1984,Oklahoma,OK,3285533,239.6,7872,40
1984,Oregon,OR,2666588,158.4,4224,41
1984,Pennsylvania,PA,11815172,110.01,12998,42
1984,Rhode Island,RI,961894,92.63,891,44
1984,South Carolina,SC,3271868,284.7,9315,45
1984,South Dakota,SD,697249,129.65,904,46
1984,Tennessee,TN,4686737,155.91,7307,47
1984,Texas,TX,16007086,229.16,36682,48
1984,United States,US,235824902,187.14,441323,0
1984,Utah,UT,1622342,91.9,1491,49
1984,Vermont,VT,526660,71.77,378,50
1984,Virginia,VA,5643870,188.97,10665,51
1984,Washington,WA,4343656,157.03,6821,53
1984,West Virginia,WV,1927697,81.91,1579,54
1984,Wisconsin,WI,4735563,105.03,4974,55
1984,Wyoming,WY,504896,143.4,724,56
1985,Alabama,AL,3972523,270.58,10749,1
1985,Alaska,AK,532495,287.33,1530,2
1985,Arizona,AZ,3183538,259.87,8273,4
1985,Arkansas,AR,2327046,198.15,4611,5
1985,California,CA,26441109,182.77,48326,6
1985,Colorado,CO,3208723,105.52,3386,8
1985,Connecticut,CT,3201131,126.3,4043,9
1985,Delaware,DE,618280,284.5,1759,10
1985,Federal,FD,237923795,13.67,32524,57
1985,Florida,FL,11351118,250.92,28482,12
1985,Georgia,GA,5962661,257.65,15363,13
1985,Hawaii,HI,1039698,137.35,1428,15
1985,Idaho,ID,994051,135.21,1344,16
1985,Illinois,IL,11399806,163.46,18634,17
1985,Indiana,IN,5459211,178.91,9767,18
1985,Iowa,IA,2829684,94.96,2687,19
1985,Kansas,KS,2427405,194.94,4732,20
1985,Kentucky,KY,3694826,134.81,4981,21
1985,Louisiana,LA,4408118,315.1,13890,22
1985,Maine,ME,1162936,105.51,1227,23
1985,Maryland,MD,4413071,278.78,12303,24
1985,Massachusetts,MA,5880733,87.74,5160,25
1985,Michigan,MI,9076293,195.62,17755,26
1985,Minnesota,MN,4184302,56,2343,27
1985,Mississippi,MS,2588102,239.87,6208,28
1985,Missouri,MO,5000268,195.91,9796,29
1985,Montana,MT,822320,137.3,1129,30
1985,Nebraska,NE,1584664,109.36,1733,31
1985,Nevada,NV,951030,396.52,3771,32
1985,New Hampshire,NH,996753,68.52,683,33
1985,New Jersey,NJ,7565528,149.82,11335,34
1985,New Mexico,NM,1438361,146.83,2112,35
1985,New York,NY,17791672,193.95,34507,36
1985,North Carolina,NC,6253954,255.95,16007,37
1985,North Dakota,ND,676980,55.39,375,38
1985,Ohio,OH,10734926,194.36,20864,39
1985,Oklahoma,OK,3271332,254.64,8330,40
1985,Oregon,OR,2672652,163.73,4376,41
1985,Pennsylvania,PA,11770862,119.95,14119,42
1985,Rhode Island,RI,968955,99.39,963,44
1985,South Carolina,SC,3303209,299.95,9908,45
1985,South Dakota,SD,698402,148.48,1037,46
1985,Tennessee,TN,4715296,151.15,7127,47
1985,Texas,TX,16272734,230.64,37531,48
1985,United States,US,237923795,200.98,478179,0
1985,Utah,UT,1642910,98.79,1623,49
1985,Vermont,VT,530035,83.58,443,50
1985,Virginia,VA,5715153,205.02,11717,51
1985,Washington,WA,4400098,157.25,6919,53
1985,West Virginia,WV,1906831,90.46,1725,54
1985,Wisconsin,WI,4747767,113.63,5395,55
1985,Wyoming,WY,499695,152.49,762,56
1986,Alabama,AL,3991569,288.21,11504,1
1986,Alaska,AK,544268,306.1,1666,2
1986,Arizona,AZ,3308262,273.19,9038,4
1986,Arkansas,AR,2331984,201.59,4701,5
1986,California,CA,27102237,212.99,57725,6
1986,Colorado,CO,3237450,117.5,3804,8
1986,Connecticut,CT,3223740,134.19,4326,9
1986,Delaware,DE,627559,311.69,1956,10
1986,Federal,FD,240132887,15.14,36356,57
1986,Florida,FL,11667505,276.22,32228,12
1986,Georgia,GA,6084666,260.49,15850,13
1986,Hawaii,HI,1051762,144.62,1521,15
1986,Idaho,ID,990224,146.23,1448,16
1986,Illinois,IL,11387257,170.86,19456,17
1986,Indiana,IN,5454108,182.67,9963,18
1986,Iowa,IA,2791970,99.46,2777,19
1986,Kansas,KS,2432619,219.72,5345,20
1986,Kentucky,KY,3687809,143.39,5288,21
1986,Louisiana,LA,4406919,324.49,14300,22
1986,Maine,ME,1170126,106.14,1242,23
1986,Maryland,MD,4486957,279.9,12559,24
1986,Massachusetts,MA,5902678,91.42,5396,25
1986,Michigan,MI,9127775,227.24,20742,26
1986,Minnesota,MN,4205212,58.55,2462,27
1986,Mississippi,MS,2593597,252.97,6561,28
1986,Missouri,MO,5023068,205.23,10309,29
1986,Montana,MT,813739,136.53,1111,30
1986,Nebraska,NE,1574333,124.12,1954,31
1986,Nevada,NV,980613,464.08,4551,32
1986,New Hampshire,NH,1025053,76.29,782,33
1986,New Jersey,NJ,7622159,157.7,12020,34
1986,New Mexico,NM,1462729,157.65,2306,35
1986,New York,NY,17833419,215.6,38449,36
1986,North Carolina,NC,6321578,259,16373,37
1986,North Dakota,ND,669512,53.92,361,38
1986,Ohio,OH,10730268,209.34,22463,39
1986,Oklahoma,OK,3252735,298.46,9708,40
1986,Oregon,OR,2683528,177.75,4770,41
1986,Pennsylvania,PA,11782752,128.7,15164,42
1986,Rhode Island,RI,977341,103.03,1007,44
1986,South Carolina,SC,3342758,329.73,11022,45
1986,South Dakota,SD,696034,150.87,1050,46
1986,Tennessee,TN,4738708,160.19,7591,47
1986,Texas,TX,16561113,232.68,38534,48
1986,United States,US,240132887,216.39,519624,0
1986,Utah,UT,1662834,104.94,1745,49
1986,Vermont,VT,534066,82.2,439,50
1986,Virginia,VA,5811700,215.86,12545,51
1986,Washington,WA,4452720,148.29,6603,53
